What problems have you experienced when using the laundry service?  ,processed
"
Wrong timer, dryer not drying properly,
Uncleaned washing machine, 
payment only available for QR no cash, 
Sometimes payment made but machine not working,
Sometimes pay by accident but if want refund have to call which is lengthy","['wrong', 'timer', 'dryer', 'dry', 'properly', 'clean', 'wash', 'machine', 'payment', 'available', 'qr', 'cash', 'sometimes', 'payment', 'make', 'machine', 'work', 'sometimes', 'pay', 'accident', 'want', 'refund', 'call', 'lengthy']"
"Sometimes the payment is made, however the washing machine does not start and I have to reach out the hotline services and wait while i get refund and have to go back and wait again until i could continue to use the machine again.","['sometimes', 'payment', 'make', 'however', 'washing', 'machine', 'start', 'reach', 'hotline', 'service', 'wait', 'get', 'refund', 'go', 'back', 'wait', 'could', 'continue', 'use', 'machine']"
not enough at the peak because only have 3 machine,"['enough', 'peak', 'machine']"
dryer didnâ€™t dry my clothes properly sometimes,"['dryer', 'dry', 'clothes', 'properly', 'sometimes']"
"not dry well, payment issues","['dry', 'well', 'payment', 'issue']"
Not fully dry,"['fully', 'dry']"
"Payment failure, dirty laundry , lack of machine","['payment', 'failure', 'dirty', 'laundry', 'lack', 'machine']"
Dryer not drying properly,"['dryer', 'dry', 'properly']"
Too long to wait coz too little machine,"['long', 'wait', 'little', 'machine']"
The machine okay but location a bit far esp when laundry heavy,"['machine', 'okay', 'location', 'bit', 'far', 'especially', 'laundry', 'heavy']"
I never experienced,"['never', 'experience']"
Ig have to wait for people in queue,"['guess', 'wait', 'people', 'queue']"
People not there even after their laundry finish. Have to wait just for them,"['people', 'even', 'laundry', 'finish', 'wait']"
Sometimes paid but machine not working ,"['sometimes', 'pay', 'machine', 'work']"
Not enough amount of machine.,"['enough', 'amount', 'machine']"
Have to queue if peak time,"['queue', 'peak', 'time']"
No problems,['problem']
No,[]
Nothing,['nothing']
the laundry always full,"['laundry', 'always', 'full']"
dryers not function,"['dryer', 'function']"
when to pay,['pay']
the payment system,"['payment', 'system']"
nothing for me,['nothing']
no,[]
not dry well,"['dry', 'well']"
during my experince no,['experience']
the dryers not functioning ,"['dryer', 'functioning']"
payment ,['payment']
so far no ,['far']
Difficulty finding an available machine during peak hours,"['difficulty', 'find', 'available', 'machine', 'peak', 'hour']"
Sometimes my outfit not dry properly,"['sometimes', 'outfit', 'dry', 'properly']"
"The time is inaccurate, i make timer on my phone and when i arrive time on machine says 10 min left","['time', 'inaccurate', 'make', 'timer', 'phone', 'arrive', 'time', 'machine', 'say', 'min', 'leave']"
Too long waiting time,"['long', 'wait', 'time']"
I pay but machine not working so i have to ask for refund. If can i want to pay by cash,"['pay', 'machine', 'work', 'ask', 'refund', 'want', 'pay', 'cash']"
Wait long time to use,"['wait', 'long', 'time', 'use']"
Unclean environment. People spill laundry detergent and it gets sticky. Sink got but dirty so cant use,"['unclean', 'environment', 'people', 'spill', 'laundry', 'detergent', 'get', 'sticky', 'sink', 'get', 'dirty', 'can', 'not', 'use']"
Maybe the machine not enough so have to wait,"['maybe', 'machine', 'enough', 'wait']"
Machine doesnt seem to do what its supposed to do,"['machine', 'seem', 'suppose']"
Only one time but i dried my clothes but a bit damp (not soo wet),"['one', 'time', 'dried', 'clothes', 'bite', 'damp', 'soo', 'wet']"
timer late by 5-10 min ish and when peak hour and people just leave their laundry inside machine after timer finish wastes time for others,"['timer', 'late', 'min', 'ish', 'peak', 'hour', 'people', 'leave', 'laundry', 'inside', 'machine', 'timer', 'finish', 'waste', 'time', 'others']"
Machine always got problem,"['machine', 'always', 'get', 'problem']"
Machine seems too small,"['machine', 'seem', 'small']"
Timer inaccurate. I put clock on my phone but go down it still going on. Too hot to wait there,"['timer', 'inaccurate', 'put', 'clock', 'phone', 'go', 'still', 'go', 'hot', 'wait']"
"Not enough washing and drying machine
When i pay i sometimes scan wrong wr code would be good if qr placed in better location ","['enough', 'wash', 'dry', 'machine', 'pay', 'sometimes', 'scan', 'wrong', 'wr', 'code', 'would', 'good', 'qr', 'place', 'good', 'location']"
Timer doesn't seem accurate. I come down but machine says timer still going,"['timer', 'seem', 'accurate', 'come', 'machine', 'say', 'timer', 'still', 'go']"
Long waiting time esp weekends,"['long', 'wait', 'time', 'especially', 'weekend']"
Insufficient machine during peak hours,"['insufficient', 'machine', 'peak', 'hour']"
Area not clean. People sometimes wear shoes even though it says not to. Sink and overall dirty and dusty,"['area', 'clean', 'people', 'sometimes', 'wear', 'shoe', 'even', 'though', 'say', 'sink', 'overall', 'dirty', 'dusty']"
Dryer not drying properly but it might be coz i put too much laundry,"['dryer', 'dry', 'properly', 'might', 'put', 'much', 'laundry']"
Sometimes it gets dirty coz people keeps spilling laundry detergent and just leave it like that ,"['sometimes', 'get', 'dirty', 'people', 'keep', 'spill', 'laundry', 'detergent', 'leave', 'like']"
Pay but machine not working so have to ask refund but takes time for refund,"['pay', 'machine', 'work', 'ask', 'refund', 'take', 'time', 'refund']"
Dryer not drying and area not clean,"['dryer', 'dry', 'area', 'clean']"
Paying is sometimes slow and one time i accidentally pay twice,"['pay', 'sometimes', 'slow', 'one', 'time', 'accidentally', 'pay', 'twice']"
Have to wait llong during peak hours making it frustrating ,"['wait', 'long', 'peak', 'hour', 'make', 'frustrate']"
Timer late by 10 min ,"['timer', 'late', 'min']"
Machine breaks down ,"['machine', 'break']"
I am required to wait for a long time to wash my clothes due to the limited amount of machines ,"['require', 'wait', 'long', 'time', 'wash', 'clothes', 'due', 'limit', 'amount', 'machine']"
Very rarely the dryer does not dry properly and timer is not accurate and ik because i make timer on my phone and when i go down it says 5 min left ,"['rarely', 'dryer', 'dry', 'properly', 'timer', 'accurate', 'know', 'make', 'timer', 'phone', 'go', 'say', 'min', 'leave']"
The queueing during waiting time and sometimes people cut me off not knowing i was there first,"['queue', 'wait', 'time', 'sometimes', 'people', 'cut', 'know', 'first']"
"Machines occasionally break down, long waits during peak hours, and detergent issues.","['machine', 'occasionally', 'break', 'long', 'wait', 'peak', 'hour', 'detergent', 'issue']"
"Some machines donâ€™t work, long queues, and detergent runs out occasionally.","['machine', 'work', 'long', 'queues', 'detergent', 'run', 'occasionally']"
Payment issue. System down.,"['payment', 'issue', 'system']"
