Is there anything you like about the current laundry service?  ,processed
fan,['fan']
appreci time payment duitnow qr qr use camera d long time enter detail use bank servic pay,"['appreciation', 'time', 'payment', 'duitnow', 'qr', 'qr', 'use', 'camera', 'long', 'time', 'enter', 'detail', 'use', 'bank', 'service', 'pay']"
easi payment method compar bfr,"['easy', 'payment', 'method', 'compare']"
nothingg,['nothing']
tabl chair provid,"['table', 'chair', 'provide']"
qr payment everytim good provid token option cash cuz got e wallet bank especi new student,"['qr', 'payment', 'everytim', 'good', 'provide', 'token', 'option', 'cash', 'get', 'e', 'wallet', 'bank', 'respect', 'new', 'student']"
pay easier,"['pay', 'easy']"
function properli,"['function', 'properly']"
facil maintain good,"['facility', 'maintain', 'good']"
place look clean,"['place', 'look', 'clean']"
think good thing machin look maintain rosak,"['think', 'good', 'thing', 'machine', 'look', 'maintain', 'rosa']"
got sink place sit,"['get', 'sink', 'place', 'sit']"
good,['good']
just like laundri servic,"['like', 'laundry', 'service']"
far,['far']
bit clean,"['bit', 'clean']"
dont know,['know']
clean,['clean']
cleanli,['cleanly']
far ye,['far']
nahh,[]
clean,['clean']
good,['good']
qr payment make easi payment process,"['qr', 'payment', 'make', 'easy', 'payment', 'process']"
wash machin overal work okay,"['wash', 'machine', 'overall', 'work', 'okay']"
payment work better,"['payment', 'work', 'well']"
machin wash dri properli,"['machine', 'wash', 'dry', 'properly']"
got sink work,"['get', 'sink', 'work']"
machin doe function properli,"['machine', 'function', 'properly']"
machin pay function okay far,"['machine', 'pay', 'function', 'okay', 'far']"
environ clean,"['environment', 'clean']"
pay easi wait long time,"['pay', 'easy', 'wait', 'long', 'time']"
think okay,"['think', 'okay']"
pay easi,"['pay', 'easy']"
realli,['really']
payment better faster use,"['payment', 'well', 'faster', 'use']"
machin work dri,"['machine', 'work', 'dry']"
think good far,"['think', 'good', 'far']"
pay work easirr,"['pay', 'work', 'easier']"
afford price,"['afford', 'price']"
conveni coz hostel area,"['convenience', 'hostel', 'area']"
price cheaper tho rm,"['price', 'cheap', 'tho', 'rm']"
pay easier like lesser click,"['pay', 'easy', 'like', 'less', 'click']"
cheap time coz smll size,"['cheap', 'time', 'small', 'size']"
pay easier,"['pay', 'easy']"
wash cloth,"['wash', 'cloth']"
cheap rm,"['cheap', 'rm']"
pay easi,"['pay', 'easy']"
problem mention fine,"['problem', 'mention', 'fine']"
comment,['comment']
machin function need,"['machine', 'function', 'need']"
access,['access']
easi access,"['easy', 'access']"
